#     RULES_OF_USE                    Public
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#                                     Magnetic Fields (space)
#                                     Electric Fields (space)
#     GENERATED_BY                    King/Papatashvilli
#     TIME_RESOLUTION                 1 minute
#     LOGICAL_SOURCE                  omni_hro_1min
#     LOGICAL_SOURCE_DESCRIPTION      OMNI Combined, Definitive, 1-minute IMF and Plasma Data Time-Shifted to the
#                                      Nose of the Earth's Bow Shock, plus Magnetic Indices
#     LINK_TEXT                       Additional information for all parameters are available from
#                                     Additional data access options available at
#                                     Recent omni high resolution updates
#     LINK_TITLE                      OMNI Data documentation
#                                     SPDF's OMNIWeb Service
#                                     Release Notes
#     HTTP_LINK                       https://omniweb.gsfc.nasa.gov/html/HROdocum.html
#                                     https://omniweb.gsfc.nasa.gov/ow_min.html
#                                     https://omniweb.gsfc.nasa.gov/html/hro_news.html
#     ALT_LOGICAL_SOURCE              Combined_OMNI_1AU-MagneticField-Plasma-HRO_1min_cdf
#     MISSION_GROUP                   OMNI (Combined 1AU IP Data; Magnetic and Solar Indices)
#                                     ACE
#                                     Wind
#                                     IMP (All)
#                                     !___Interplanetary Data near 1 AU
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/OMNI/HighResolutionObservations/Version1/PT1M
#     CDAWEB_PARENTS                  omni_hro_1min_00000000_v01
#                                     omni_hro_1min_20180101_v01, omni_hro_1min_20180201_v01
#                                     omni_hro_1min_20180301_v01, omni_hro_1min_20180401_v01
#                                     omni_hro_1min_20180501_v01, omni_hro_1min_20180601_v01
#                                     omni_hro_1min_20180701_v01, omni_hro_1min_20180801_v01
#                                     omni_hro_1min_20180901_v01, omni_hro_1min_20181001_v01
#                                     omni_hro_1min_20181101_v01, omni_hro_1min_20181201_v01
#                                     omni_hro_1min_20190101_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Epoch Time
#  2. Bz (nT), GSE
#  3. AE - 1-minute AE-index, from WDC Kyoto (Final 1988/001-1988/182, Provisional 1990/001-2018/059)
#
EPOCH_TIME_yyyy-mm-ddThh:mm:ss.sssZ,BZ__GSE_nT,1-M_AE_nT
2018-01-01T00:00:00.000Z,-3.81000,301
2018-01-01T00:01:00.000Z,-2.36000,317
2018-01-01T00:02:00.000Z,-2.56000,306
2018-01-01T00:03:00.000Z,-2.90000,298
2018-01-01T00:04:00.000Z,-2.82000,280
2018-01-01T00:05:00.000Z,-2.42000,271
2018-01-01T00:06:00.000Z,-3.22000,263
2018-01-01T00:07:00.000Z,-3.43000,263
2018-01-01T00:08:00.000Z,-3.86000,275
2018-01-01T00:09:00.000Z,-4.37000,287
2018-01-01T00:10:00.000Z,-4.23000,292
2018-01-01T00:11:00.000Z,-5.93000,298
2018-01-01T00:12:00.000Z,-2.51000,305
2018-01-01T00:13:00.000Z,-3.79000,312
2018-01-01T00:14:00.000Z,-3.93000,306
2018-01-01T00:15:00.000Z,-3.90000,295
2018-01-01T00:16:00.000Z,-5.30000,291
2018-01-01T00:17:00.000Z,-5.48000,297
2018-01-01T00:18:00.000Z,-6.17000,286
2018-01-01T00:19:00.000Z,-7.56000,288
2018-01-01T00:20:00.000Z,-7.61000,283
2018-01-01T00:21:00.000Z,-6.37000,276
2018-01-01T00:22:00.000Z,-4.64000,286
2018-01-01T00:23:00.000Z,-1.64000,290
2018-01-01T00:24:00.000Z,-0.200000,283
2018-01-01T00:25:00.000Z,-1.65000,270
2018-01-01T00:26:00.000Z,0.560000,257
2018-01-01T00:27:00.000Z,0.00000,270
2018-01-01T00:28:00.000Z,0.0800000,284
2018-01-01T00:29:00.000Z,-1.89000,289
2018-01-01T00:30:00.000Z,-7.73000,296
2018-01-01T00:31:00.000Z,-7.81000,296
2018-01-01T00:32:00.000Z,-7.77000,296
2018-01-01T00:33:00.000Z,-7.17000,298
2018-01-01T00:34:00.000Z,-7.16000,307
2018-01-01T00:35:00.000Z,-6.76000,325
2018-01-01T00:36:00.000Z,-6.86000,349
2018-01-01T00:37:00.000Z,-7.15000,369
2018-01-01T00:38:00.000Z,-9.11000,390
2018-01-01T00:39:00.000Z,-8.26000,398
2018-01-01T00:40:00.000Z,-8.06000,398
2018-01-01T00:41:00.000Z,-8.72000,404
2018-01-01T00:42:00.000Z,-8.59000,407
2018-01-01T00:43:00.000Z,-8.11000,413
2018-01-01T00:44:00.000Z,-5.09000,399
2018-01-01T00:45:00.000Z,-4.45000,386
2018-01-01T00:46:00.000Z,-2.75000,371
2018-01-01T00:47:00.000Z,-6.30000,352
2018-01-01T00:48:00.000Z,-8.55000,361
2018-01-01T00:49:00.000Z,-8.02000,378
2018-01-01T00:50:00.000Z,-7.57000,379
2018-01-01T00:51:00.000Z,-7.85000,390
2018-01-01T00:52:00.000Z,-7.50000,403
2018-01-01T00:53:00.000Z,-7.29000,414
2018-01-01T00:54:00.000Z,-7.48000,414
2018-01-01T00:55:00.000Z,-7.20000,403
2018-01-01T00:56:00.000Z,-7.25000,400
2018-01-01T00:57:00.000Z,-7.55000,398
2018-01-01T00:58:00.000Z,-7.59000,394
2018-01-01T00:59:00.000Z,-8.01000,394
2018-01-01T01:00:00.000Z,-8.32000,403
