Date_UTC,Extent,IAGA,GEOLON,GEOLAT,MAGON,MAGLAT,MLT,MCOLAT,IGRF_DECL,SZA,dbn_nez,dbe_nez,dbz_nez,dbn_geo,dbe_geo,dbz_geo
2018-01-01T00:00:00,60,ABK,18.82,68.35,101.70,65.74,1.55,24.26,8.51,133.35,-185.4,81.7,16.9,-195.6,52.9,16.9
2018-01-01T00:00:00,60,AND,16.03,69.30,100.22,66.86,1.45,23.14,7.14,132.82,-162.8,77.9,85.6,-171.4,56.7,85.6
2018-01-01T00:00:00,60,DOB,9.11,62.07,90.19,59.64,0.78,30.36,2.70,140.54,-19.1,22.4,-27.6,-20.1,21.4,-27.6
2018-01-01T00:00:00,60,DON,12.50,66.11,95.19,63.75,1.12,26.25,4.66,136.27,-112.1,53.9,-79.0,-116.1,44.4,-79.0
2018-01-01T00:00:00,60,JCK,16.98,66.40,98.94,63.82,1.37,26.18,7.07,135.42,-107.0,64.5,-89.5,-114.2,50.6,-89.5
2018-01-01T00:00:00,60,KAR,5.24,59.21,85.69,56.70,0.49,33.30,1.01,143.67,-12.0,18.7,-16.8,-12.4,18.4,-16.8
2018-01-01T00:00:00,60,KIL,20.79,69.02,103.74,66.33,1.69,23.67,9.80,132.44,-172.1,96.3,45.5,-186.1,65.1,45.5
2018-01-01T00:00:00,60,MAS,23.70,69.46,106.36,66.65,1.86,23.35,11.58,131.58,-174.3,96.7,55.9,-190.3,59.3,55.9
2018-01-01T00:00:00,60,NOR,25.79,71.09,109.28,68.19,2.06,21.81,13.41,129.82,-113.0,84.8,114.8,-129.7,56.0,114.8
2018-01-01T00:00:00,60,RVK,10.99,64.94,93.27,62.61,0.99,27.39,3.76,137.56,-50.2,32.1,-63.5,-52.2,28.6,-63.5
2018-01-01T00:00:00,60,SOL,4.84,61.08,86.25,58.82,0.52,31.18,0.73,141.84,-17.5,19.8,-24.6,-17.8,19.5,-24.6
2018-01-01T00:00:00,60,SOR,22.22,70.54,106.04,67.80,1.84,22.20,11.11,130.86,-122.3,103.6,108.1,-140.2,77.7,108.1
2018-01-01T00:00:00,60,TRO,18.94,69.66,102.77,67.07,1.62,22.93,8.92,132.12,-153.6,87.9,77.9,-165.5,62.6,77.9
2018-01-01T00:01:00,60,ABK,18.82,68.35,101.70,65.74,1.57,24.26,8.51,133.31,-187.6,79.4,17.5,-197.4,50.3,17.5
2018-01-01T00:01:00,60,AND,16.03,69.30,100.22,66.86,1.47,23.14,7.14,132.79,-169.5,80.5,92.7,-178.3,58.4,92.7
2018-01-01T00:01:00,60,DOB,9.11,62.07,90.19,59.64,0.80,30.36,2.70,140.52,-19.1,22.8,-26.9,-20.2,21.8,-26.9
2018-01-01T00:01:00,60,DON,12.50,66.11,95.19,63.75,1.14,26.25,4.66,136.24,-107.0,54.2,-78.6,-111.2,45.1,-78.6
2018-01-01T00:01:00,60,JCK,16.98,66.40,98.94,63.82,1.39,26.18,7.07,135.38,-103.7,61.3,-88.1,-110.5,47.9,-88.1
2018-01-01T00:01:00,60,KAR,5.24,59.21,85.69,56.70,0.50,33.30,1.01,143.66,-12.4,19.0,-16.3,-12.8,18.8,-16.3
2018-01-01T00:01:00,60,KIL,20.79,69.02,103.74,66.33,1.71,23.67,9.80,132.40,-174.5,95.5,48.7,-188.3,64.0,48.7
2018-01-01T00:01:00,60,MAS,23.70,69.46,106.36,66.65,1.88,23.35,11.58,131.54,-176.1,99.3,58.5,-192.6,61.5,58.5
2018-01-01T00:01:00,60,NOR,25.79,71.09,109.28,68.19,2.07,21.81,13.41,129.78,-117.7,92.6,125.0,-136.2,62.4,125.0
2018-01-01T00:01:00,60,RVK,10.99,64.94,93.27,62.61,1.01,27.39,3.76,137.53,-56.0,34.1,-62.1,-58.1,30.3,-62.1
2018-01-01T00:01:00,60,SOL,4.84,61.08,86.25,58.82,0.54,31.18,0.73,141.83,-18.0,20.1,-23.6,-18.3,19.8,-23.6
2018-01-01T00:01:00,60,SOR,22.22,70.54,106.04,67.80,1.86,22.20,11.11,130.82,-126.4,101.6,117.5,-143.8,75.0,117.5
2018-01-01T00:01:00,60,TRO,18.94,69.66,102.77,67.07,1.64,22.93,8.92,132.09,-158.7,85.1,82.9,-170.1,59.0,82.9
2018-01-01T00:02:00,60,ABK,18.82,68.35,101.70,65.74,1.59,24.26,8.51,133.27,-185.3,72.1,13.0,-194.0,43.4,13.0
2018-01-01T00:02:00,60,AND,16.03,69.30,100.22,66.86,1.49,23.14,7.14,132.76,-172.8,86.0,90.4,-182.3,63.4,90.4
2018-01-01T00:02:00,60,DOB,9.11,62.07,90.19,59.64,0.82,30.36,2.70,140.49,-19.0,22.9,-26.9,-20.1,21.9,-26.9
2018-01-01T00:02:00,60,DON,12.50,66.11,95.19,63.75,1.15,26.25,4.66,136.21,-105.2,53.7,-78.6,-109.3,44.8,-78.6
2018-01-01T00:02:00,60,JCK,16.98,66.40,98.94,63.82,1.40,26.18,7.07,135.35,-101.7,60.2,-86.6,-108.4,47.0,-86.6
2018-01-01T00:02:00,60,KAR,5.24,59.21,85.69,56.70,0.52,33.30,1.01,143.64,-12.6,19.3,-15.7,-13.0,19.0,-15.7
2018-01-01T00:02:00,60,KIL,20.79,69.02,103.74,66.33,1.72,23.67,9.80,132.37,-176.7,87.0,48.9,-189.0,55.3,48.9
2018-01-01T00:02:00,60,MAS,23.70,69.46,106.36,66.65,1.90,23.35,11.58,131.50,-178.4,96.3,59.9,-194.2,58.0,59.9
2018-01-01T00:02:00,60,NOR,25.79,71.09,109.28,68.19,2.09,21.81,13.41,129.74,-118.9,95.6,131.8,-138.0,65.1,131.8
2018-01-01T00:02:00,60,RVK,10.99,64.94,93.27,62.61,1.02,27.39,3.76,137.51,-58.9,35.8,-61.6,-61.1,31.8,-61.6
2018-01-01T00:02:00,60,SOL,4.84,61.08,86.25,58.82,0.56,31.18,0.73,141.81,-18.0,20.6,-23.1,-18.3,20.4,-23.1
2018-01-01T00:02:00,60,SOR,22.22,70.54,106.04,67.80,1.88,22.20,11.11,130.78,-130.3,96.3,118.7,-146.6,69.0,118.7
